squirrel_id,sex,year,observer,cohort,grid,trialnumber,trialdate,taglft,tagrt,colours,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,comments,mastyear,litter_id,fieldBDate,litter_size,n1_date,n1_weight,n2_date,n2_weight,dam_id,part,julian_trialdate,oft1,mis1,gridyear
22996,F,2017,ARM,2017,KL,2,7/29/17,M4938,M4939,R/R*,88.17,38,9,158.602,93.41,29.826,137.482,450,94.3,205.21,2,0.2,0.066,300,N,NA,0,7767,5/16/17,3,137,11.7,6/10/17,40.2,20191,136,210,1.5690545868048553,0.39533300596395465,KL 2017
22773,M,2017,ARM,2017,KL,2,7/21/17,M4688,M4689,W*/G*,125.141,35,15,142.154,77.509,9.06,142.059,450,160.735,115.666,2,22.434,14.026,300,Y,NA,0,8041,5/3/17,2,124,12.3,5/29/17,53.7,19809,123,202,2.0486825775255104,0.9602296617148973,KL 2017
22748,F,2017,ARM,2017,KL,2,7/24/17,M4678,M4679,R*/W*,40.034,6,9,76.276,0,19.324,369.025,450,231.208,51.491,2,102.967,25.757,300,N,NA,0,7861,5/2/17,2,122,10.2,5/27/17,58.5,22117,122,205,-1.052271792,1.2385470769954743,KL 2017
23031,F,2017,ARM,2017,KL,2,8/2/17,M2468,M2469,W/W*,50.294,25,4,304.613,31.792,6.042,280.215,450,170.766,55.309,2,101.712,56.433,300,Y,NA,0,7812,5/18/17,3,138,9.9,6/12/17,41.1,20920,138,214,-0.552337347,0.8410997408268168,KL 2017
23052,F,2017,ARM,2017,SU,2,8/2/17,M3893,M3894,W*/W*,2.648,1,0,444.622,4.397,0,433.628,450,282.127,4.204,1,0.426,0.012,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,7899,5/17/17,2,137,18,6/13/17,52.5,12003,137,214,-2.699847406,2.0596074812750294,SU 2017
23024,M,2017,ARM,2017,KL,2,7/24/17,M4951,M45952,B*/R,83.81,23,8,274.133,3.992,17.281,253.954,450,231.405,63.622,1,38.705,0.134,300,Y,NA,0,7745,5/9/17,3,138,28.7,6/3/17,57.8,19766,129,205,-0.260852393,1.4377905341261288,KL 2017
22758,F,2017,ARM,2017,KL,2,7/23/17,M4628,M4629,O*/W*,124.46,30,33,88.395,71.187,16.605,216.782,450,262.498,0.769,1,224.294,1.155,300,Y,NA,0,7736,5/3/17,4,123,8.8,5/28/17,43,19583,123,204,2.6599795198107845,1.2152019630961188,KL 2017
22891,M,2017,ARM,2017,KL,2,7/30/17,M4682,M4683,Y*/Y*,87.566,33,13,231.087,44.521,26.839,210.9,450,135.113,139.551,1,5.013,2.31,300,N,NA,0,8131,5/2/17,3,130,24.5,5/28/17,46.2,20857,122,211,0.8339592452634893,0.7790386898133933,KL 2017
22964,F,2017,ARM,2017,SU,2,7/23/17,M4801,M4802,G*/W*,136.017,32,3,167.614,10.719,11.287,176.239,450,138.404,127.124,1,10.754,6.771,300,N,NA,0,7922,5/8/17,3,128,24.3,6/2/17,58.1,20948,128,204,0.581869515,0.8124195308624551,SU 2017
22684,F,2017,ARM,2017,SU,2,7/18/17,M4655,M4656,G*/R*,130.557,17,20,103.338,157.485,8.906,153.23,450,202.084,94.725,1,109.279,42.331,300,Y,NA,0,8034,4/24/17,2,114,10.8,5/20/17,61,20061,114,199,2.7428453319431187,0.7672087297352121,SU 2017
22986,M,2017,ARM,2017,SU,2,7/27/17,M4815,M4816,W*/G*,90.103,30,11,99.872,82.035,22.944,232.079,450,294.35,0,1,214.575,194.07,300,Y,NA,0,7938,5/13/17,3,136,15.5,6/7/17,45.2,21907,133,208,1.1526539324885448,0.6638475196937369,SU 2017
22873,M,2017,ARM,2017,KL,2,7/24/17,M4969,M4970,W*/Y,59.269,29,2,284.138,21.065,23.727,189.985,450,274.713,16.146,0,274.885,0.167,300,Y,NA,0,7816,5/8/17,4,128,9,6/5/17,48.4,20995,128,205,-0.266514796,0.9661719396460668,KL 2017
23089,M,2017,ARM,2017,KL,2,7/27/17,M4974,M4975,R*/W,20.924,1,7,5.373,0,103.232,425.866,450,115.325,181.153,0,292.935,0.236,300,Y,NA,0,7809,5/9/17,2,143,36.9,6/5/17,58.4,20865,129,208,-1.83586448,-0.539209506,KL 2017
22658,F,2017,ARM,2017,KL,2,7/13/17,M4622,M4623,G*/R*,0.467,2,0,215.881,0,0,441.466,450,280.482,18.241,0,286.338,0.279,300,Y,NA,0,7822,4/22/17,3,113,11.5,5/18/17,53.2,21155,112,194,-2.388744364,0.9427743645732652,KL 2017
